id,title,url,organisation,Wikidata Q number,Wikidata urls,format,date,is_alive,type1,type2,additional,description,Extracted_Locations,postcode
33427,Aon Teanga,http://aonteanga.co.uk/,Aon Teanga,Q108856925,https://www.wikidata.org/wiki/Q108856925,website,14/12/2015,False,Music,MUSIC : TRADITIONAL / FOLK,,Site for a community appreciating Gaelic languages.,,
33428,Spook School [music group],http://thespookschool.com/,The Spook School,Q18163405,https://www.wikidata.org/wiki/Q18163405,website,14/12/2015,True,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,,,
33473,Edinburgh Society of Organists,http://www.edinburghorganists.org/,Edinburgh Society of Organists,,,website,14/12/2015,True,Music,MUSIC,,,"Edinburgh",
33474,Scottish Federation of Organists,http://www.scotsorgan.org.uk/,Scottish Federation of Organists and Scottish Churches Organist Training Scheme,,,website,14/12/2015,True,Music,MUSIC,,,,
40498,Edinburgh Royal Choral Union,http://ercu.org.uk/,Edinburgh Royal Choral Union,,,website,06/05/2016,True,Music,MUSIC : CHOIRS,,"Website for a choral society based in Edinburgh, Scotland.","Edinburgh",
40605,Edinburgh International Harp Festival,http://harpfestival.co.uk/,Clarsach Society,,,website,09/05/2016,True,Music,FESTIVAL,,"Site of an international harp / clarsach music festival heald annually in Edinburgh and featuring concerts, workshops and classes relating to music and performance on harps.","Edinburgh",
40888,Northern Streams Festival,http://www.northernstreams.org/,Traditional Music and Song Association of Scotland,,,website,13/05/2016,True,Music,FESTIVAL,,"Site of an annual music festival in Edinburgh, featuring traditional music and musicians from Scotland, Sweden, Norway and Denmark.","Denmark, Sweden, Edinburgh, Norway",
40889,Scots Music Group,https://www.scotsmusic.org/,Scots Music Group,,,website,13/05/2016,True,Music,MUSIC : TRADITIONAL / FOLK,,"Site of an organisation based in Edinburgh that provides classes on various traditional Scots instruments, and organises Scots music events and Community Projects focusing on tradtional Scots music.","Edinburgh",
40890,Scottish National Jazz Orchestra,http://snjo.co.uk/,Scottish National Jazz Orchestra,,,website,13/05/2016,True,Music,MUSIC : ORCHESTRAS,,"Site of a Scottish orchestra comprising musicians based in Scotland, and maintaing the forms of jazz music.",,
40891,Thornlie Boys,http://www.thornlieboys.co.uk/,Thornlie Boys,,,website,13/05/2016,False,Music,MUSIC,,"Site of a Scottish musical duo whose songs focus on Glasgow Rangers Football Club, Loyalism in a UK and Northern Irish context, and the Orange Order.",,
40892,Thurso Pipe Band,http://www.thursopipeband.co.uk/,Thurso Pipe Band,,,website,13/05/2016,False,Music,MUSIC : PIPING,,"Site of a Scottish traditional pipes and drums band based in Thurso, Caithness, Scotland.","Caithness, Thurso",
40893,Traditional Music and Song Association Edinburgh and Lothians branch,http://www.eltmsa.org.uk/,Traditional Music and Song Association Edinburgh and Lothians branch,,,website,13/05/2016,True,Music,MUSIC,,Site of a Scottish traditonal music organisation based in Edinburgh.,"Edinburgh",
40894,Traditional Music and Song Association of Scotland,http://www.tmsa.org.uk/,Traditional Music and Song Association of Scotland / TMSA,,,website,13/05/2016,True,Music,MUSIC : TRADITIONAL / FOLK,,"Site of an association promoting, preserving and organising events in Scottish traditonal music in particular and traditional music in general.",,
40896,Edinburgh Mandolin and Guitar Orchestra,http://www.emgo.org.uk/,Edinburgh Mandolin & Guitar Orchestra,,,website,13/05/2016,False,Music,MUSIC : ORCHESTRAS,,"Site of an orchestra based in Edinburgh, concentrating on music for mandolins and guitars.","Edinburgh",
40897,Scots Fiddle Festival,http://www.scotsfiddlefestival.com/,Scots Fiddle Festival Ltd,,,website,13/05/2016,True,Music,FESTIVAL,,Site of a festival whose aim is to promote and sustain traditional fiddle music from Scotland and around the world.,,
40899,Sangstream,http://sangstream.org.uk/,Sangstream,,,website,13/05/2016,True,Music,MUSIC,,Site of a a Scots folk choir based in Edinburgh.,"Edinburgh",
40900,Scots Moothie,http://www.geocurrent.org.uk/moothie/,Scots Mouthie,,,website,13/05/2016,False,Music,MUSIC : TRADITIONAL / FOLK,,Site dedicated to the furtherance of traditional mouth-organ and harmonica based music in Scotland.,,
40901,Yvonne Burgess,http://www.yvonneburgess.co.uk/,Yvonne Burgess,,,website,13/05/2016,True,Music,MUSIC,,"Site of a choir master based in Edinburgh, providing classes on various genres of choral music.","Edinburgh",
40902,String Circle Fiddle Workshops,http://www.fiddleclass.com/,String Circle Fiddle Workshops,,,website,13/05/2016,True,Music,MUSIC : TRADITIONAL / FOLK,,Site promoting fiddle playing and providing classes on traditional fiddle playing in Scotland.,,
40905,Edinburgh Society of Musicians,http://www.edinburghsocietyofmusicians.co.uk/,Edinburgh Society of Musicians,,,website,13/05/2016,True,Music,MUSIC,,Site of an organisation that promotes practical music-making in Edinburgh.,"Edinburgh",
40908,Bearsden Choir,http://www.bearsdenchoir.co.uk/,Bearsden Choir,Q16822831,https://www.wikidata.org/wiki/Q16822831,website,13/05/2016,False,Music,MUSIC : CHOIRS,,Site of a choir based in Bearsden East Dunbartonshire and concentrating on classical music.,,
41008,Bishopton Folk Night,http://www.bishoptonfolk.com/,Bishopton Folk Nights,,,website,16/05/2016,False,Music,MUSIC : TRADITIONAL / FOLK,,"Site of a hyper local folk event based in Bishopton Renfrewshire, staging regular Scottish traditional music events in local venues.",,
41009,Sgiol Chiùil na Gàidhealtachd / National Centre of Excellence in Traditional Music,http://www.musicplockton.org/,Sgoil Chiùil na Gàidhealtachd,,,website,16/05/2016,True,Music,MUSIC : TRADITIONAL / FOLK,,"Site of a school of residential Scottish traditional music for secondary school age students, located in Plockton, Highland.","Plockton",
